Age.ka,d18O,MgCa
15.14417178,,0.97558586
15.32515337,4.51,1.077
16.95398773,4.988440455,0.948325216
17.31595092,5.03,0.997
18.76380368,4.759868417,1.017346322
18.94478528,5.21,0.998
20.21165644,,1.025803294
20.57361963,5.111198352,1.094074631
20.93558282,4.94,
21.29754601,3.609109317,0.993994468
21.6595092,4.911569327,0.908303136
22.02147239,4.983233515,1.111316256
22.74539877,4.93,1.075
23.10736196,5.019363087,0.872364111
23.83128834,5.010214742,1.15157234
24.55521472,4.98,1.096
24.91717791,4.782642498,1.086666471
