/* DATA DESCRIPTION:
Citation:	Birner, Benjamin; Hodell, David A; Tzedakis, Polychronis C; Skinner, Luke C (2016): Mg/Ca ratios and stable oxygen isotope ratios of IODP Site 339-U1385. PANGAEA, https://doi.org/10.1594/PANGAEA.857754, 
	In supplement to: Birner, B et al. (2016): Similar millennial climate variability on the Iberian margin during two early Pleistocene glacials and MIS 3. Paleoceanography, 31(1), 203-217, https://doi.org/10.1002/2015PA002868
Project(s):	Integrated Ocean Drilling Program / International Ocean Discovery Program (IODP) (URI: http://www.iodp.org/)
Coverage:	MEDIAN LATITUDE: 37.571300 * MEDIAN LONGITUDE: -10.126040 * SOUTH-BOUND LATITUDE: 37.571300 * WEST-BOUND LONGITUDE: -10.126150 * NORTH-BOUND LATITUDE: 37.571300 * EAST-BOUND LONGITUDE: -10.125930
	MINIMUM ELEVATION: -2589.0 m * MAXIMUM ELEVATION: -2584.0 m
Event(s):	339-U1385D * LATITUDE: 37.571300 * LONGITUDE: -10.125930 * ELEVATION: -2584.0 m * Recovery: 153.95 m * CAMPAIGN: Exp339 (Mediterranean Outflow) (URI: https://doi.org/10.2204/iodp.proc.339.2013) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * DEVICE: Drilling/drill rig (DRILL) * COMMENT: 16 cores; 146.4 m cored; 105 % recovered; 146.4 m penetrated
	339-U1385E * LATITUDE: 37.571300 * LONGITUDE: -10.126150 * ELEVATION: -2589.0 m * Recovery: 151.32 m * CAMPAIGN: Exp339 (Mediterranean Outflow) (URI: https://doi.org/10.2204/iodp.proc.339.2013) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * DEVICE: Drilling/drill rig (DRILL) * COMMENT: 17 cores; 148.7 m cored; 102 % recovered; 148.7 m penetrated
Parameter(s):	Event label (Event) * PI: Birner, Benjamin (benjamin.birner@googlemail.com)
	Sample code/label (Sample label) * PI: Birner, Benjamin (benjamin.birner@googlemail.com) * METHOD: ODP sample designation (URI: hdl:10013/epic.27914.d001)
	Depth, composite revised, corrected [crmcd] (Depth corr cr) * PI: Birner, Benjamin (benjamin.birner@googlemail.com)
	AGE [ka BP] (Age) * GEOCODE * PI: Birner, Benjamin (benjamin.birner@googlemail.com) * COMMENT: precession-tuned age model
	Uvigerina peregerina, Magnesium/Calcium ratio [mmol/mol] (U. peregerina Mg/Ca) * PI: Birner, Benjamin (benjamin.birner@googlemail.com)
	Bottom water temperature [°C] (BWT) * PI: Birner, Benjamin (benjamin.birner@googlemail.com)
	Species (Species) * PI: Birner, Benjamin (benjamin.birner@googlemail.com) * COMMENT: species measured for d18O calcite
	delta 18O, adjusted/corrected [per mil] (d18O) * PI: Birner, Benjamin (benjamin.birner@googlemail.com) * COMMENT: d18O calcite with respect to PDB, +0.64 per mil for C. wuellerstorfi and C. mundulus
	delta 18O, water [per mil SMOW] (d18O H2O) * PI: Birner, Benjamin (benjamin.birner@googlemail.com)
	Comment (Comment) * PI: Birner, Benjamin (benjamin.birner@googlemail.com)
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	906 data points
*/
Event	Sample label	Depth corr cr [crmcd]	Age [ka BP]	U. peregerina Mg/Ca [mmol/mol]	BWT [°C]	Species	d18O [per mil]	d18O H2O [per mil SMOW]	Comment
339-U1385D	339-U1385D-15H-1,100-101	140.08	1236.62	1.394	3.9	C. wuellerstorfi	3.35	0.38	
339-U1385D	339-U1385D-15H-1,125-128	140.32	1238.91	1.290	2.9	C. wuellerstorfi	3.57	0.34	
339-U1385D	339-U1385D-15H-1,131-132	140.38	1239.48	1.269	2.7	C. wuellerstorfi	2.97	-0.31	
339-U1385D	339-U1385D-15H-1,136-137	140.43	1239.95	1.338	3.4	U. peregrina	3.36	0.25	
339-U1385D	339-U1385D-15H-1,140-141	140.47	1240.33	1.206	2.1	U. peregrina	3.42	-0.02	
339-U1385D	339-U1385D-15H-1,145-146	140.51	1240.71	1.456	4.6	U. peregrina	3.36	0.54	
339-U1385D	339-U1385D-15H-2,0-1	140.57	1241.40	1.322	3.2	U. peregrina	3.18	0.03	
339-U1385D	339-U1385D-15H-2,5-6	140.62	1242.06	1.324	3.2	U. peregrina	3.22	0.08	
339-U1385D	339-U1385D-15H-2,5-6	140.62	1242.06	1.271	2.7	U. peregrina	3.28	0.00	
339-U1385D	339-U1385D-15H-2,10-11	140.67	1242.72	1.274	2.7	U. peregrina	3.35	0.08	
339-U1385D	339-U1385D-15H-2,15-16	140.72	1243.39	1.339	3.4	U. peregrina	3.28	0.17	
339-U1385D	339-U1385D-15H-2,20-21	140.77	1244.05	1.245	2.4	C. wuellerstorfi	3.26	-0.08	
339-U1385D	339-U1385D-15H-2,25-26	140.82	1244.71	1.305	3.0	U. peregrina	3.52	0.32	
339-U1385D	339-U1385D-15H-2,30-31	140.87	1245.37	1.368	3.7	C. wuellerstorfi	3.19	0.15	
339-U1385D	339-U1385D-15H-2,34-35	140.91	1245.90	1.404	4.0	U. peregrina	3.81	0.87	
339-U1385D	339-U1385D-15H-2,35-36	140.92	1246.04	1.469	4.7	U. peregrina	4.01	1.23	
339-U1385D	339-U1385D-15H-2,39-40	140.96	1246.57	1.204	2.0	U. peregrina	4.30	0.86	
339-U1385D	339-U1385D-15H-2,41-42	140.98	1246.83	1.240	2.4	U. peregrina	4.09	0.73	
339-U1385D	339-U1385D-15H-2,45-46	141.02	1247.36	1.131	1.3	U. peregrina	4.54	0.91	
339-U1385D	339-U1385D-15H-2,51-52	141.08	1248.16	1.269	2.7	C. mundulus	4.29	1.00	
339-U1385D	339-U1385D-15H-2,55-56	141.12	1248.69	1.139	1.4	U. peregrina	4.74	1.13	
339-U1385D	339-U1385D-15H-2,59-60	141.16	1249.22	1.144	1.4	U. peregrina	4.74	1.14	
339-U1385D	339-U1385D-15H-2,61-62	141.18	1249.48	1.169	1.7	U. peregrina	4.48	0.95	
339-U1385D	339-U1385D-15H-2,65-66	141.22	1250.01	1.106	1.1	U. peregrina	4.62	0.93	
339-U1385D	339-U1385D-15H-2,70-71	141.27	1250.68	1.115	1.1	U. peregrina	4.54	0.87	
339-U1385D	339-U1385D-15H-2,76-77	141.33	1251.47	1.196	2.0	U. peregrina	4.95	1.48	
339-U1385D	339-U1385D-15H-2,80-81	141.37	1252.00	1.197	2.0	U. peregrina	4.56	1.10	
339-U1385D	339-U1385D-15H-2,85-86	141.42	1252.66	0.993	-0.1	U. peregrina	4.94	0.97	
339-U1385D	339-U1385D-15H-2,90-91	141.47	1253.33	1.082	0.8	U. peregrina	4.71	0.96	
339-U1385D	339-U1385D-15H-2,95-96	141.52	1253.99	1.148	1.5	U. peregrina	4.94	1.36	
339-U1385D	339-U1385D-15H-2,95-96	141.52	1253.99	1.101	1.0	U. peregrina	5.00	1.30	
339-U1385D	339-U1385D-15H-2,95-96	141.52	1253.99	1.081	0.8	U. peregrina	4.93	1.18	
339-U1385D	339-U1385D-15H-2,100-101	141.57	1254.65	1.168	1.7	U. peregrina	4.76	1.22	
