Sample ID,Depth.m,Age.Ma,MgCa,B.Ca,d18O,d13C,notes
806B 44-2 82-87,409.52,11.58,1.96,31.8,2.34,0.83,
806B 45-5 81-86,423.71,11.984,2.02,30.9,2.35,0.86,
806B 46-2 82-87,428.82,12.132,1.94,31.8,2.33,0.91,
806B 46-5 82-87,433.32,12.263,2.03,31.9,2.36,1.06,
806B 47-2 70-75,438.3,12.41,2.04,31.5,2.36,0.82,
806B 47-5 38-43,442.48,12.534,1.89,29.8,1.37,0.99,d18O not used by Lear et al
806B 48-2 64-69,447.94,12.697,1.99,31,2.28,0.87,
806B 48-5 60-65,452.4,12.831,1.76,33.1,2.16,0.94,
806B 49-2 68-73,457.68,12.991,1.92,29,2.21,1.13,
806B 49-5 63-68,462.13,13.126,2.01,32,1.94,1.24,
806B 50-2 70-75,465.8,13.239,2.17,31.3,1.71,1.1,
806B 51-2 68-73,475.48,13.539,2,178.7,2.08,1.74,Ba/Ca not used by Lear et al
806B 52-2 88-93,484.98,13.836,1.79,28.5,2.3,0.88,
806B 52-5 77-82,489.37,13.975,2.05,31.3,1.38,1.56,
806B 53-2 71-76,494.51,14.138,1.89,29.4,1.27,1.67,
806B 53-4 80-85,497.6,14.236,2,30.4,1.31,1.66,
806B 54-2 71-76,504.11,14.445,1.83,28,1.38,1.52,
806B 54-5 66-68,508.56,14.588,1.91,29.1,1.55,1.39,
806B 55-2 80-85,513.9,14.76,2.09,31.3,1.33,1.39,
806B 55-5 80-85,518.4,14.906,2.13,31.3,1,1.12,
806B 56-2 87-92,523.67,15.078,2.19,28.7,1.07,1.34,
806B 57-2 70-75,533.1,15.386,2.34,29.6,1.53,1.65,
806B 58-2 70-75,542.7,15.701,2.09,26.5,1.55,1.73,
806B 58-5 75-80,547.25,15.851,2.06,28,1.18,1.4,
806B 59-2 70-75,552.4,16.02,2.01,28,,,
806B 59-5 80-85,557,16.172,2.16,34.7,,,
806B 60-2 80-85,562.2,16.343,1.71,33.5,,,
806B 60-5 36-41,566.26,16.477,1.81,31.7,,,
806B 61-2 70-75,571.8,16.66,1.91,32.3,1.33,0.69,
806B 63-2 70-75,591.2,17.296,2.24,29.2,1.26,0.29,
806B 63-5 78-83,595.78,17.446,1.95,31.7,1.72,0.74,
lear03_001,,0.081145,1.1768,,,,
lear03_002,,0.049205,1.2052,,,,
lear03_003,,0.20804,1.2613,,,,
lear03_004,,0.24689,1.2681,,,,
lear03_005,,1.2167,1.3319,,,,
lear03_006,,0.2676,1.3349,,,,
lear03_007,,0.74023,1.3398,,,,
lear03_008,,0.017696,1.3399,,,,
lear03_009,,0.45924,1.347,,,,
lear03_010,,1.1192,1.3676,,,,
lear03_011,,1.0303,1.4183,,,,
lear03_012,,0.30213,1.422,,,,
lear03_013,,0.1433,1.4354,,,,
lear03_014,,2.4887,1.45,,,,
lear03_015,,0.62153,1.4855,,,,
lear03_016,,2.2108,1.4883,,,,
lear03_017,,1.3479,1.4912,,,,
