BWT,MgCa,Source
8.5,1.48,Bryan 2008
8.5,1.46,Bryan 2008
5.8,1.07,Bryan 2008
5.8,1.02,Bryan 2008
9.7,1.52,Bryan 2008
9.7,1.53,Bryan 2008
9.7,1.52,Bryan 2008
9.7,1.53,Bryan 2008
9,1.48,Bryan 2008
9,1.43,Bryan 2008
7.8,1.69,Bryan 2008
6.3,1.13,Bryan 2008
10,1.46,Bryan 2008
10,1.41,Bryan 2008
9.1,1.64,Bryan 2008
9.1,1.69,Bryan 2008
7,1.36,Bryan 2008
7,1.43,Bryan 2008
10.8,1.63,Bryan 2008
10.8,1.61,Bryan 2008
11,1.71,Bryan 2008
12.1,1.88,Bryan 2008
15.7,2,Bryan 2008
9.3,1.45,Bryan 2008
17.3,2.15,Bryan 2008
17.3,2.14,Bryan 2008
14.5,1.85,Bryan 2008
14.5,1.84,Bryan 2008
11.9,1.86,Bryan 2008
16.8,1.88,Bryan 2008
11.81,1.93,Elderfield 2006
2.63,1.14,Elderfield 2006
1.87,0.87,Elderfield 2006
1.69,1.13,Elderfield 2006
1.49,1,Elderfield 2006
11.81,1.42,Elderfield 2006
4.41,1.21,Elderfield 2006
2.63,1.09,Elderfield 2006
1.87,1.05,Elderfield 2006
1.69,0.93,Elderfield 2006
1.49,1.05,Elderfield 2006
4.01,1.29,Yu 2008
5.5,1.29,Yu 2008
5.5,1.41,Yu 2008
2.43,1.36,Yu 2008
1.06,0.89,Yu 2008
19.56,2.18,Yu 2008
19.56,2.45,Yu 2008
15.82,2.22,Yu 2008
15.82,2.34,Yu 2008
12.95,1.88,Yu 2008
12.95,2.13,Yu 2008
3.44,1.08,Yu 2008
1.7,1.67,Yu 2008
1.5,1.26,Yu 2008
1.27,1.33,Yu 2008
6.84,1.25,Yu 2008
1.3,1.18,Elderfield 2010
1.3,1.16,Elderfield 2010
1.3,1.2,Elderfield 2010
