ID,Age_ka,d18O,MgCa
"339-U1385D-15H-1,100-101",1236.62,,1.394
"339-U1385D-15H-1,119-120",1238.33,2.65,
"339-U1385D-15H-1,120-121",1238.43,2.75,
"339-U1385D-15H-1,121-122",1238.52,2.78,
"339-U1385D-15H-1,122-123",1238.62,2.78,
"339-U1385D-15H-1,123-124",1238.71,2.86,
"339-U1385D-15H-1,124-125",1238.81,2.77,
"339-U1385D-15H-1,125-126",1238.91,2.93,
"339-U1385D-15H-1,125-128",1238.91,,1.29
"339-U1385D-15H-1,126-127",1239,2.84,
"339-U1385D-15H-1,127-128",1239.1,2.85,
"339-U1385D-15H-1,128-129",1239.19,2.7,
"339-U1385D-15H-1,129-130",1239.29,2.58,
"339-U1385D-15H-1,130-131",1239.38,2.72,
"339-U1385D-15H-1,131-132",1239.48,2.33,
"339-U1385D-15H-1,131-132",1239.48,,1.269
"339-U1385D-15H-1,132-133",1239.57,2.76,
"339-U1385D-15H-1,133-134",1239.67,2.69,
"339-U1385D-15H-1,135-136",1239.86,2.63,
"339-U1385D-15H-1,136-137",1239.95,2.67,
"339-U1385D-15H-1,136-137",1239.95,,1.338
"339-U1385D-15H-1,137-138",1240.05,2.74,
"339-U1385D-15H-1,138-139",1240.14,2.69,
"339-U1385D-15H-1,139-140",1240.24,2.67,
"339-U1385D-15H-1,140-141",1240.33,2.76,
"339-U1385D-15H-1,140-141",1240.33,,1.206
"339-U1385D-15H-1,141-142",1240.43,2.65,
"339-U1385D-15H-1,142-143",1240.52,2.5,
"339-U1385D-15H-1,143-144",1240.52,2.73,
"339-U1385D-15H-1,145-146",1240.71,2.57,
"339-U1385D-15H-1,145-146",1240.71,,1.456
"339-U1385D-15H-1,146-147",1240.81,2.84,
"339-U1385D-15H-1,147-148",1240.9,2.84,
"339-U1385D-15H-1,148-149",1241,2.75,
"339-U1385D-15H-1,149-150",1241.13,2.78,
"339-U1385D-15H-1,150-151",1241.27,2.8,
"339-U1385D-15H-2,0-1",1241.4,2.72,
"339-U1385D-15H-2,0-1",1241.4,,1.322
"339-U1385D-15H-2,100-101",1254.65,,1.168
"339-U1385D-15H-2,10-11",1242.72,2.63,
"339-U1385D-15H-2,10-11",1242.72,,1.274
"339-U1385D-15H-2,101-102",1254.79,4.04,
"339-U1385D-15H-2,101-102",1254.79,,1.063
"339-U1385D-15H-2,101-102",1254.79,,1.064
"339-U1385D-15H-2,102-103",1254.92,4.07,
"339-U1385D-15H-2,103-104",1255.05,4.25,
"339-U1385D-15H-2,104-105",1255.18,4.1,
"339-U1385D-15H-2,105-106",1255.32,3.94,
"339-U1385D-15H-2,105-106",1255.32,,1.188
"339-U1385D-15H-2,106-107",1255.45,3.95,
"339-U1385D-15H-2,107-108",1255.58,4.17,
"339-U1385D-15H-2,108-109",1255.71,3.97,
"339-U1385D-15H-2,109-110",1255.85,4.11,
"339-U1385D-15H-2,110-111",1255.98,3.97,
"339-U1385D-15H-2,110-111",1255.98,,1.179
"339-U1385D-15H-2,111-112",1256.11,4.11,
"339-U1385D-15H-2,11-12",1242.86,2.59,
"339-U1385D-15H-2,112-113",1256.24,3.91,
"339-U1385D-15H-2,113-114",1256.38,3.94,
"339-U1385D-15H-2,114-115",1256.51,3.96,
"339-U1385D-15H-2,115-116",1256.64,3.91,
"339-U1385D-15H-2,115-116",1256.64,,1.067
"339-U1385D-15H-2,116-117",1256.77,4.13,
"339-U1385D-15H-2,117-118",1256.91,3.98,
"339-U1385D-15H-2,118-119",1257.04,3.92,
"339-U1385D-15H-2,119-120",1257.17,3.98,
"339-U1385D-15H-2,1-2",1241.53,2.73,
"339-U1385D-15H-2,120-121",1257.3,3.97,
"339-U1385D-15H-2,120-121",1257.3,,0.981
"339-U1385D-15H-2,121-122",1257.44,3.92,
"339-U1385D-15H-2,12-13",1242.99,2.64,
"339-U1385D-15H-2,122-123",1257.57,3.79,
"339-U1385D-15H-2,123-124",1257.7,4.09,
"339-U1385D-15H-2,124-125",1257.83,3.95,
"339-U1385D-15H-2,125-126",1257.97,4.14,
"339-U1385D-15H-2,125-126",1257.97,,1.057
"339-U1385D-15H-2,125-126",1257.97,,1.04
"339-U1385D-15H-2,126-127",1258.1,4.25,
"339-U1385D-15H-2,127-128",1258.23,4.39,
"339-U1385D-15H-2,128-129",1258.36,4.14,
"339-U1385D-15H-2,129-130",1258.5,4.16,
"339-U1385D-15H-2,130-131",1258.63,4.05,
"339-U1385D-15H-2,130-131",1258.63,,1.055
"339-U1385D-15H-2,131-132",1258.76,4.02,
"339-U1385D-15H-2,13-14",1243.12,2.69,
"339-U1385D-15H-2,132-133",1258.89,3.99,
"339-U1385D-15H-2,133-134",1259.03,3.9,
"339-U1385D-15H-2,134-135",1259.16,4,
"339-U1385D-15H-2,135-136",1259.29,3.89,
"339-U1385D-15H-2,135-136",1259.29,,0.983
"339-U1385D-15H-2,136-137",1259.42,3.85,
"339-U1385D-15H-2,137-138",1259.56,3.78,
"339-U1385D-15H-2,138-139",1259.69,3.66,
"339-U1385D-15H-2,139-140",1259.82,3.81,
"339-U1385D-15H-2,140-141",1259.95,3.78,
"339-U1385D-15H-2,140-141",1259.95,,1.153
"339-U1385D-15H-2,141-142",1260.09,3.82,
"339-U1385D-15H-2,14-15",1243.25,2.64,
"339-U1385D-15H-2,142-143",1260.22,3.68,
"339-U1385D-15H-2,143-144",1260.35,3.83,
"339-U1385D-15H-2,144-145",1260.48,3.84,
"339-U1385D-15H-2,145-146",1260.62,,1.063
"339-U1385D-15H-2,146-147",1260.75,3.88,
"339-U1385D-15H-2,147-148",1260.83,3.8,
"339-U1385D-15H-2,149-150",1260.98,3.81,
"339-U1385D-15H-2,151-152",1261.14,3.88,
"339-U1385D-15H-2,15-16",1243.39,2.47,
"339-U1385D-15H-2,15-16",1243.39,,1.339
"339-U1385D-15H-2,16-17",1243.52,2.65,
"339-U1385D-15H-2,17-18",1243.65,2.57,
"339-U1385D-15H-2,18-19",1243.78,2.57,
"339-U1385D-15H-2,19-20",1243.92,2.58,
"339-U1385D-15H-2,20-21",1244.05,2.62,
"339-U1385D-15H-2,20-21",1244.05,,1.245
"339-U1385D-15H-2,21-22",1244.18,2.62,
"339-U1385D-15H-2,22-23",1244.31,2.59,
"339-U1385D-15H-2,2-3",1241.66,2.68,
"339-U1385D-15H-2,23-24",1244.45,2.76,
"339-U1385D-15H-2,24-25",1244.58,2.6,
"339-U1385D-15H-2,25-26",1244.71,2.33,
"339-U1385D-15H-2,25-26",1244.71,,1.305
"339-U1385D-15H-2,26-27",1244.84,2.78,
"339-U1385D-15H-2,27-28",1244.98,2.52,
"339-U1385D-15H-2,28-29",1245.11,3.03,
"339-U1385D-15H-2,29-30",1245.24,2.93,
"339-U1385D-15H-2,30-31",1245.37,2.55,
"339-U1385D-15H-2,30-31",1245.37,,1.368
"339-U1385D-15H-2,31-32",1245.51,2.71,
"339-U1385D-15H-2,32-33",1245.64,2.55,
"339-U1385D-15H-2,33-34",1245.77,2.95,
"339-U1385D-15H-2,3-4",1241.8,2.78,
"339-U1385D-15H-2,34-35",1245.9,,1.404
"339-U1385D-15H-2,35-36",1246.04,2.73,
"339-U1385D-15H-2,35-36",1246.04,,1.469
"339-U1385D-15H-2,36-37",1246.17,3.03,
"339-U1385D-15H-2,37-38",1246.3,3.29,
"339-U1385D-15H-2,38-39",1246.43,3.25,
"339-U1385D-15H-2,39-40",1246.57,3.18,
"339-U1385D-15H-2,39-40",1246.57,,1.204
"339-U1385D-15H-2,41-42",1246.83,,1.24
"339-U1385D-15H-2,43-44",1247.1,3.72,
"339-U1385D-15H-2,44-45",1247.23,3.56,
"339-U1385D-15H-2,4-5",1241.93,2.77,
"339-U1385D-15H-2,45-46",1247.36,3.27,
"339-U1385D-15H-2,45-46",1247.36,,1.131
"339-U1385D-15H-2,46-47",1247.49,3.33,
"339-U1385D-15H-2,49-50",1247.89,3.83,
"339-U1385D-15H-2,50-51",1248.03,3.7,
