Age_ka,MgCa,Species,d18O,BWT,d18O_sw
1236.62,1.394,C. wuellerstorfi,3.35,3.9,0.38
1238.91,1.29,C. wuellerstorfi,3.57,2.9,0.34
1239.48,1.269,C. wuellerstorfi,2.97,2.7,-0.31
1239.95,1.338,U. peregrina,3.36,3.4,0.25
1240.33,1.206,U. peregrina,3.42,2.1,-0.02
1240.71,1.456,U. peregrina,3.36,4.6,0.54
1241.4,1.322,U. peregrina,3.18,3.2,0.03
1242.06,1.324,U. peregrina,3.22,3.2,0.08
1242.06,1.271,U. peregrina,3.28,2.7,0
1242.72,1.274,U. peregrina,3.35,2.7,0.08
1243.39,1.339,U. peregrina,3.28,3.4,0.17
1244.05,1.245,C. wuellerstorfi,3.26,2.4,-0.08
1244.71,1.305,U. peregrina,3.52,3,0.32
1245.37,1.368,C. wuellerstorfi,3.19,3.7,0.15
1245.9,1.404,U. peregrina,3.81,4,0.87
1246.04,1.469,U. peregrina,4.01,4.7,1.23
1246.57,1.204,U. peregrina,4.3,2,0.86
1246.83,1.24,U. peregrina,4.09,2.4,0.73
1247.36,1.131,U. peregrina,4.54,1.3,0.91
1248.16,1.269,C. mundulus,4.29,2.7,1
1248.69,1.139,U. peregrina,4.74,1.4,1.13
1249.22,1.144,U. peregrina,4.74,1.4,1.14
1249.48,1.169,U. peregrina,4.48,1.7,0.95
1250.01,1.106,U. peregrina,4.62,1.1,0.93
1250.68,1.115,U. peregrina,4.54,1.1,0.87
1251.47,1.196,U. peregrina,4.95,2,1.48
1252,1.197,U. peregrina,4.56,2,1.1
1252.66,0.993,U. peregrina,4.94,-0.1,0.97
1253.33,1.082,U. peregrina,4.71,0.8,0.96
1253.99,1.148,U. peregrina,4.94,1.5,1.36
1253.99,1.101,U. peregrina,5,1,1.3
1253.99,1.081,U. peregrina,4.93,0.8,1.18
1254.65,1.168,U. peregrina,4.76,1.7,1.22
1254.79,1.063,U. peregrina,4.9,0.6,1.1
1254.79,1.064,U. peregrina,4.87,0.6,1.08
1255.32,1.188,U. peregrina,4.86,1.9,1.38
1255.98,1.179,U. peregrina,4.38,1.8,0.87
1256.64,1.067,U. peregrina,4.74,0.7,0.95
1257.3,0.981,U. peregrina,4.7,-0.2,0.7
1257.97,1.057,U. peregrina,4.7,0.6,0.89
