Age, MgCa, Sigma, Ref
0, 5.2, 0.03, de Villiers
1.65, 5.5, 0.53, Coggon
5, 3.6, 0.5, Horita
5, 4.1, 0.5, Lowenstein
14, 3.4, 0.5, Horita
14, 3.7, 0.5, Lowenstein
35, 2, 0.3, Horita
37, 2.4, 0.3, Horita
37, 3.1, 0.5, Lowenstein
52.75, 1.3195, 0.5, Hasiuk
52.75, 1.75, 0.5, Dickson
100, 0.82, 0.5, Hasiuk
100, 1.4, 0.5, Dickson
33, 2.4, 0.3, Coggon
33, 2.35, 0.3, Coggon
36, 2.41, 0.3, Coggon
30, 2.05, 0.3, Coggon
24, 2.27, 0.3, Coggon
32, 1.97, 0.3, Coggon
40, 1.76, 0.3, Coggon
79, 1.82, 0.29, Coggon
109, 1.33, 0.18, Coggon
